title,target
中国高校图书馆组织氛围类型与基线研究,
“双一流”建设中高校图书馆队伍建设研究,"[1]“双一流”建设背景下高校图书馆在智库建设中的创新服务研究[J].孙晶.图书情报导刊.2018(05)
[2]基于智库视角的高校图书馆服务创新研究[J].史琳琳.才智.2018(08)
[3]基于智库建设视角下的图书馆情报服务创新[J].付昕,郭波.经济师.2018(02)
[4]图书馆服务高校智库建设的策略——“双一流”高校建设背景下的思考[J].董薇,姜宇飞,张明昊,刘革,董光琴.智库理论与实践.2017(03)
[5]图书馆在高校智库建设中的作用及服务创新[J].赵雪岩,彭焱.图书情报导刊.2017(02)
[6]高校一流学科与新型智库建设的互动机制研究[J].汪锋.中国高教研究.2016(09)
[7]“双一流”建设与大学发展[J].马廷奇.国家教育行政学院学报.2016(09)
[8]“双一流”建设中的学术突破——论大学学科、专业、课程一体化建设[J].周光礼.教育研究.2016(05)
[9]高校图书馆嵌入式学科服务模式的实践与思考——以厦门大学图书馆为例[J].陈全松.图书情报工作.2012(07)
"
基于问卷调查的高校图书馆阅读推广活动评价研究,"[1]论高校图书馆在全民阅读推广中的主体地位[J].李明.图书馆工作与研究.2018(04)
[2]高校图书馆阅读推广活动影响因子指标体系构建研究[J].马君,郭晶,陈晶晶,马一铭.大学图书情报学刊.2017(05)
[3]环境质量视角的高校图书馆阅读推广满意度影响因子研究[J].王红.情报科学.2017(04)
[4]以“阅读学”课程推进阅读推广[J].张怀涛,王晓美,朱振宁.河北科技图苑.2016(06)
[5]从阅读调查分析看艺术院校教师阅读推广[J].连朝曦,陈亮.四川图书馆学报.2016(01)
[6]医学高校图书馆阅读推广的源动力及影响因素分析[J].王维秋,刘春丽.医学信息学杂志.2016(01)
[7]服务创新对大学图书馆阅读推广的影响研究[J].魏小贞.内蒙古科技与经济.2015(14)
[8]基于问卷调查的高校阅读推广活动评价[J].岳修志.大学图书馆学报.2012(05)
[9]图书馆学与阅读研究[J].范并思.图书与情报.2010(02)
[10]新教育[M].漓江出版社,朱永新,2009
"
基于生态视角构建高校图书馆智慧服务研究,"[1]“互联网+”背景下图书馆信息生态环境分析[J].吕莉媛,陈秀华.情报科学.2017(10)
[2]智慧图书馆APP的设计与实现[J].魏群义,廖维,沈敏.图书馆论坛.2017(07)
[3]基于协同生态的图书馆智慧服务体系构建[J].王林,许晓巍.新世纪图书馆.2017(04)
[4]自主创新为主导的图书馆系统研发历程——以重庆大学图书馆为例[J].许天才,杨新涯,田琳.图书馆论坛.2017(04)
[5]智慧图书馆的研究与实践——以南京大学图书馆为例[J].沈奎林,邵波.新世纪图书馆.2015(07)
[6]图书馆生态学理论与应用研究[J].王凌.图书馆学研究.2014(19)
[7]论图书馆系统的生态平衡[J].张四新.图书馆.2007(02)
[8]论高校图书馆的生态环境[J].宋占茹.现代情报.2007(02)
[9]基于生态系统的信息资源共享模式[J].张四新.情报科学.2004(11)
[10]论图书馆系统的生态环境[J].张四新.图书馆理论与实践.2004(03)
[11]生态战略[M].机械工业出版社,刘海峰,2016
[12]Libraryecologyandelectronics.DonleyJr,AlbertM.AmericanDocumentatio.1957
"
智库背景下高校图书馆服务发展研究,"[1]高校图书馆创新发展趋势分析[J].孙鹏,王磊.大学图书情报学刊.2018(01)
[2]高校图书馆参与高校智库建设与服务的优势及路径研究[J].赵雪岩,彭焱.图书情报工作.2016(22)
[3]高校智库与图书馆智库服务[J].崔泳.内蒙古科技与经济.2016(08)
[4]高校图书馆服务新型智库建设的思考[J].陆雪梅.图书馆学研究.2016(08)
[5]高校图书馆智库的组织架构及职能定位研究[J].张明,张莹,李艳国.图书馆工作与研究.2016(04)
[6]国外高校图书馆组织结构变革研究述评[J].贾东琴,王蒙.图书馆理论与实践.2016(03)
"
嵌入机构知识库的高校图书馆学科服务模式探析,"[1]“双一流”建设背景下面向用户的机构知识库建设策略探析[J].刘悦如,王从军,余育仁.图书馆工作与研究.2018(05)
[2]学科信息服务嵌入机构知识库的研究和应用策略[J].何平,何艳平.图书馆.2018(03)
[3]机构知识库元数据质量控制方法研究[J].刘丹.图书馆学研究.2018(04)
[4]大数据环境下高校图书馆嵌入式学科服务模式研究[J].董颖,张艳蕾,任晓辉,于子清.大学图书馆学报.2017(03)
[5]清华大学图书馆学科馆员工作的新思路和新举措[J].范爱红,邵敏.大学图书馆学报.2008(01)
[6]机构知识库的政策、功能和支撑机制分析[J].张晓林.图书情报工作.2008(01)
[7]清华大学图书馆“学科馆员”制度的建立[J].姜爱蓉.图书馆杂志.1999(06)
[8]基于机构知识库的学科服务模式研究[D].盈江燕.江苏大学2016
"
新信息环境下高校科技查新协同合作机制研究——以江苏地区为例,"[1]“长三角”高校图书馆联盟发展研究[J].方向明,刘亚雄,唐凤.图书馆学研究.2017(24)
[2]基于知识协同的高校图书馆科技查新[J].马晓庆.图书情报工作.2016(S2)
[3]我国图书馆联盟管理与运行机制现状调查研究[J].杜杏叶,李亚峰,李贺,王硕.图书情报工作.2014(09)
[4]中国科学院国家科学图书馆科技查新院所协同服务模式构建研究[J].孙玉玲,郑菲,陈芳,向桂林.图书情报工作.2013(S2)
[5]区域科技查新协同服务模式的实践[J].赵霞,张卓群,王春莉.图书馆学研究.2012(19)
[6]从查新项目统计分析研究高校查新工作中的问题与对策——以北京理工大学教育部科技查新站L27为例[J].赵霞,张敏.图书情报工作.2012(S1)
[7]构建与拓展区域科技查新联合体[J].郑瑞珍,洪凡.情报探索.2010(04)
[8]关于吉林省图书馆联盟开展网上联合参考咨询服务的思考[J].杨柏林.图书馆学研究.2010(04)
[9]构建北京地区高校科技查新机构联合体的可行性探讨[J].何琼,薛敬.图书馆学研究.2008(10)
[10]科技查新的质量控制[J].孙清玉.图书馆学研究.2004(08)
[11]创业家的赚钱系统[M].北京大学出版社,林伟贤,2009
"
高校科技查新服务现状及其质量管理研究——以江苏地区为例,"[1]影响科技查新质量的因素分析[J].李高兰.江苏科技信息.2017(03)
[2]高校图书馆科技查新服务调查与分析[J].鄂丽君.情报杂志.2012(01)
[3]科技查新中影响查新质量的重要因素探讨[J].张慧卿,郭倩玲,高彦静.现代情报.2010(10)
[4]制约科技查新质量的因素[J].董晓夏.图书与情报.2009(04)
[5]科技查新行业发展现状及面临的问题分析[J].谢新洲,夏晨曦,柯贤能.图书情报工作.2009(12)
[6]科技查新[M].上海科学技术文献出版社,肖沪卫,2008
"
江苏省48所本科高校图书馆微信公众平台调查与分析,"[1]高校图书馆微信公众号运营策略研究——基于互联网运营视角的分析[J].刘薇.图书馆学刊.2017(11)
[2]江苏省“211工程”高校图书馆微信公众平台建设现状及对策研究[J].刘颖,高俊宽.图书馆学研究.2018(03)
[3]运维视角下的图书馆微信公众号管理状况分析及启示——基于江苏省25所高校图书馆的调查[J].宋爱林.新世纪图书馆.2017(11)
[4]江苏省高校图书馆微信公众平台内容建设问题与策略分析[J].丁枝秀.大学图书情报学刊.2017(06)
[5]高校图书馆微信公众平台建设研究——以江苏省本科高校图书馆为例[J].邵丽珍.图书馆工作与研究.2017(10)
[6]基于微信传播指数WCI的图书馆微信公众号研究——以江苏省本科院校图书馆为例[J].耿曼曼.河南图书馆学刊.2017(06)
[7]面向39所高校图书馆的微信调查与分析[J].王其和,吴家霞,付可心,田姗.图书馆学研究.2016(21)
"
“以人为本”在高校图书馆读者服务工作中的相关分析,"[1]论高校图书馆读者服务存在的问题和创新策略[J].梁青.农业图书情报学刊.2017(01)
[2]大数据时代开放大学图书馆的读者服务工作[J].张小平.山东广播电视大学学报.2016(03)
[3]高校真人图书馆服务策略探析[J].金秀丽.吉林工程技术师范学院学报.2014(02)
[4]“以人为本”与高校图书馆服务管理理念[J].阿迪雅.语文学刊.2014(01)
"
